Transparent|透明
Captain device|艦長用デバイス
Desk (vertical) end|デスク（縦）端
Captain device|艦長用デバイス
Captain's chair (front)|艦長用椅子（前）
Captain device|艦長用デバイス
Small space display|小型宙域表示装置
Captain device|艦長用デバイス
Captain's chair (after)|艦長用椅子（後）
Captain device|艦長用デバイス
Desk (vertical) end|デスク（縦）端
Captain device|艦長用デバイス
Captain's chair (front)|艦長用椅子（前）
Captain device|艦長用デバイス
Curved desk|曲線デスク
Curved desk|曲線デスク
Aerial projection type keyboard (front)|空中投影型キーボード（前）
Curved desk|曲線デスク
Curved desk|曲線デスク
Standalone imaging equipment (sideways)|スタンドアロン映像装置（横）
Stand-alone imaging equipment (front)|スタンドアロン映像装置（前）
Standalone imaging equipment (sideways)|スタンドアロン映像装置（横）
Curved desk|曲線デスク
Curved desk|曲線デスク
Large desk|大型デスク
Curved desk|曲線デスク
Curved desk|曲線デスク
Standalone imaging equipment (sideways)|スタンドアロン映像装置（横）
Stand-alone imaging equipment (front)|スタンドアロン映像装置（前）
Standalone imaging equipment (sideways)|スタンドアロン映像装置（横）
Transfer device (back)|転送装置（後）
Transfer device (back)|転送装置（後）
Transfer device (back)|転送装置（後）
Transfer device (front)|転送装置（前）
Transfer device (front)|転送装置（前）
Transfer device (front)|転送装置（前）
Large computer (sideways)|大型コンピューター（横）
Large computer (sideways)|大型コンピューター（横）
Transfer device (back)|転送装置（後）
Transfer device (back)|転送装置（後）
Transfer device (back)|転送装置（後）
Transfer device (front)|転送装置（前）
Transfer device (front)|転送装置（前）
Transfer device (front)|転送装置（前）
Large computer (sideways)|大型コンピューター（横）
Large computer (sideways)|大型コンピューター（横）
Transfer device (back)|転送装置（後）
Transfer device (back)|転送装置（後）
Transfer device (back)|転送装置（後）
Transfer device (front)|転送装置（前）
Transfer device (front)|転送装置（前）
Transfer device (front)|転送装置（前）
Treasure Chest|宝箱
Large computer (front)|大型コンピューター（前）
Transfer device (back)|転送装置（後）
Transfer device (back)|転送装置（後）
Transfer device (back)|転送装置（後）
Transfer device (front)|転送装置（前）
Transfer device (front)|転送装置（前）
Transfer device (front)|転送装置（前）
Treasure Chest|宝箱
Large computer (front)|大型コンピューター（前）
Ring type transfer device|リング型転送装置
Ring type transfer device|リング型転送装置
Ring type transfer device|リング型転送装置
Large culture layer|大型培養層
Large culture layer|大型培養層
Large culture layer|大型培養層
Commercial culture layer|汎用培養層
Broken floor|壊れた床
Ring type transfer device|リング型転送装置
Ring type transfer device|リング型転送装置
Ring type transfer device|リング型転送装置
Large culture layer|大型培養層
Large culture layer|大型培養層
Large culture layer|大型培養層
Commercial culture layer|汎用培養層
Broken floor|壊れた床
Ring type transfer device|リング型転送装置
Ring type transfer device|リング型転送装置
Ring type transfer device|リング型転送装置
Large culture layer|大型培養層
Large culture layer|大型培養層
Large culture layer|大型培養層
Commercial culture layer|汎用培養層
Broken floor|壊れた床
Floor Joint|床面ジョイント
Floor Joint|床面ジョイント
Floor Joint|床面ジョイント
Large culture layer|大型培養層
Large culture layer|大型培養層
Large culture layer|大型培養層
Broken floor|壊れた床
Broken floor|壊れた床
